-------------------------------------------------------------------------------
NGINX Ingress controller
  Release:       v1.3.1
  Build:         92534fa2ae799b502882c8684db13a25cde68155
  Repository:    https://github.com/kubernetes/ingress-nginx
***HIDDEN*** - - [21/Nov/2023:14:33:37 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.007 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.008 200 77b72a00-e4af-4481-92d6-adb179dea0df
***HIDDEN*** - - [21/Nov/2023:14:33:42 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.005 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.004 200 d475cf52-5c51-42ec-ae66-137422d4ff27
***HIDDEN*** - - [21/Nov/2023:14:33:47 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.005 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.004 200 90de786b-12a9-432b-94dc-7cb0cc51fd6c
***HIDDEN*** - - [21/Nov/2023:14:33:52 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.004 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.008 200 4d6eded2-d4aa-4374-b84f-adac123357d2
***HIDDEN*** - - [21/Nov/2023:14:33:57 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.005 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.008 200 e160acd4-38a8-45b1-a4cc-6f94287423a2
***HIDDEN*** - - [21/Nov/2023:14:34:02 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.005 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.008 200 e42b6a9c-e4b3-4a8c-93d0-117f2d1398a3
***HIDDEN*** - - [21/Nov/2023:14:34:07 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.004 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.004 200 8afd1e3f-2a28-4f6d-a949-8a37ee38fb6e
***HIDDEN*** - - [21/Nov/2023:14:34:12 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.006 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.004 200 a16ae81c-f055-4c3d-8b71-efda4993b346
***HIDDEN*** - - [21/Nov/2023:14:34:17 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.005 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.004 200 840bcb6e-559c-479c-a236-e3c81bd6fb58
***HIDDEN*** - - [21/Nov/2023:14:34:22 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.006 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.008 200 e7f872f7-fe9c-426c-8904-a715ce2b367a
***HIDDEN*** - - [21/Nov/2023:14:34:27 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.005 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.008 200 95b997e0-7dd6-4b02-9748-84facf0e19f5
***HIDDEN*** - - [21/Nov/2023:14:34:32 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.005 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.004 200 48c0676a-82f6-4ee8-b319-33b2ce97b7ba
***HIDDEN*** - - [21/Nov/2023:14:34:37 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.004 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.004 200 1b0cf691-39e2-477e-99e4-338b9c13be5e
***HIDDEN*** - - [21/Nov/2023:14:34:42 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.004 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.004 200 4da03019-591b-4c93-8c89-a2c1e1112342
***HIDDEN*** - - [21/Nov/2023:14:34:47 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.004 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.004 200 d8cc5fe5-ef7a-46a7-8884-3383b6ece1b3
***HIDDEN*** - - [21/Nov/2023:14:34:52 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.004 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.004 200 a327ffc8-d900-4396-8ff8-815c9dec4140
***HIDDEN*** - - [21/Nov/2023:14:34:57 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.004 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.004 200 389c4651-f557-4d7d-b34e-8b4b61d21060
