I1121 14:29:53.013597       1 request.go:655] Throttling request took 1.049205256s, request: GET:https://***HIDDEN***:443/apis/apps/v1?timeout=32s
2023-11-21T16:12:53.476Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-kubernetes-event-persistor-secretconfig", "targetSecret": "hub/keycloak-client-secret-kubernetes-event-persistor"}
2023-11-21T16:12:53.477Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/session-service-db-secretconfig", "targetSecret": "hub/session-service-db-secret"}
2023-11-21T16:12:53.478Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-catalog-service-secretconfig", "targetSecret": "hub/keycloak-client-secret-catalog-service"}
2023-11-21T16:12:53.480Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/notification-service-db-secretconfig", "targetSecret": "hub/notification-service-db-secret"}
2023-11-21T16:12:53.481Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/accounts-minio-secretconfig", "targetSecret": "hub/accounts-minio-credentials"}
2023-11-21T16:12:53.483Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-auth-rely-secretconfig", "targetSecret": "hub/keycloak-client-secret-auth-rely"}
2023-11-21T16:12:53.484Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/secret-store-db-secretconfig", "targetSecret": "hub/secret-store-db-secret"}
2023-11-21T16:12:53.487Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-lifecycle-handler-secretconfig", "targetSecret": "hub/keycloak-client-secret-lifecycle-handler"}
2023-11-21T16:12:53.488Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-trigger-service-secretconfig", "targetSecret": "hub/keycloak-client-secret-trigger-service"}
2023-11-21T16:12:53.489Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-secret-store-secretconfig", "targetSecret": "hub/keycloak-client-secret-secret-store"}
2023-11-21T16:12:53.491Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-userdata-svc-secretconfig", "targetSecret": "hub/accounts-service-keycloak-client"}
2023-11-21T16:12:53.492Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/catalog-minio-secretconfig", "targetSecret": "hub/catalog-minio-credentials"}
2023-11-21T16:12:53.493Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-notification-service-secretconfig", "targetSecret": "hub/keycloak-client-secret-notification-service"}
2023-11-21T16:12:53.494Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-execution-context-manager-secretconfig", "targetSecret": "hub/keycloak-client-secret-execution-context-manager"}
2023-11-21T16:12:53.496Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-execution-operator-secretconfig", "targetSecret": "hub/keycloak-client-secret-execution-operator"}
2023-11-21T16:12:53.497Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-search-sync-service-secretconfig", "targetSecret": "hub/keycloak-client-secret-search-sync-service"}
